Filename,Validity Has Exception,Validity Problem Count,Validity Message,FMI Version,Co-Simulation,Model Exchange,Param Count,Input Count,Output Count,Generation Tool
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_Drivetrain_AveragedSwitched.fmu,False,0,,1.0,False,True,7,3,7,"Dymola Version 2020x (64-bit), 2019-10-10 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_Hacker_Q150_45.fmu,False,0,,1.0,False,True,7,3,4,"Dymola Version 2020x (64-bit), 2019-10-10 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_MultiRotor_15C.fmu,False,0,,2.0,True,True,234,12,12,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_MultiRotor_ColdPlate.fmu,False,0,,2.0,True,True,235,12,12,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_MultiRotor_MachineTemp.fmu,False,0,,2.0,True,True,238,12,12,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_MultiRotor_Temp.fmu,False,0,,2.0,False,True,240,12,12,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_MultiRotor_new.fmu,False,0,,2.0,False,True,234,12,12,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_SimplifiedDrive_L_Battery.fmu,False,0,,1.0,False,True,160,3,7,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_SimplifiedDrive_L_Battery_Loss.fmu,False,0,,1.0,False,True,160,3,8,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_SimplifiedDrive_noL.fmu,False,0,,1.0,False,True,0,3,6,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_SimplifiedDrive_noL_Battery.fmu,False,0,,1.0,False,True,160,3,7,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_Sinusoidal.fmu,False,0,,1.0,False,True,0,3,6,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_Trapezoidal_Thermal.fmu,False,0,,1.0,False,True,160,3,8,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_Trapezoidal_machine_current.fmu,False,0,,1.0,False,True,0,3,6,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_brushlees_battery2.fmu,False,0,,1.0,False,True,160,3,7,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_brushless_30soc.fmu,False,0,,1.0,False,True,160,3,7,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_brushless_40soc.fmu,False,0,,1.0,False,True,160,3,7,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_brushless_battery2.fmu,False,0,,1.0,False,True,160,3,7,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_brushless_battery_old.fmu,False,0,,1.0,False,True,7,3,6,"Dymola Version 2020x (64-bit), 2019-10-10 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_RotorModel_Rotor.fmu,False,0,,2.0,True,False,0,9,6,Simulink (R2019a)
results/downloads\ALSETLab\DrivetrainValidation\Rotor.fmu,False,0,,2.0,True,False,0,9,6,Simulink (R2019a)
results/downloads\ALSETLab\Modelica-Drone-3D-FMI\B_FMI_Drone.fmu,False,0,,2.0,True,True,413,3,3,"Dymola Version 2020 (64-bit), 2019-04-10"
results/downloads\ALSETLab\Mostar\MATLAB_IGLim_Capacitive_IGLim_Inductive_fmu.fmu,False,0,,1.0,False,True,5034,2,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_IGLim_Capacitive_IGLim_Inductive_fmu_AVR.fmu,False,0,,1.0,False,True,5034,2,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_IGLim_Capacitive_RaPId.fmu,False,0,,1.0,False,True,181,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_IGLim_Capacitive_UpdatedGeneratorIO_AVR.fmu,False,0,,1.0,False,True,206,2,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_IGLim_Capacitive_UpdatedGeneratorIO_Mostar.fmu,False,0,,1.0,False,True,181,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_IGLim_Capacitive_UpdatedGeneratorIO_RaPId.fmu,False,0,,1.0,False,True,181,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_IGLim_Capacitive_UpdatedGeneratorIO_fmu.fmu,False,0,,1.0,False,True,332,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_IGLim_Capacitive_fmu.fmu,False,0,,2.0,True,True,149,0,2,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_IGLim_Capacitive_fmu_AVR.fmu,False,0,,1.0,False,True,206,2,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_IGLim_Capacitive_fmu_gen.fmu,False,0,,1.0,False,True,9434,0,4,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_IGLim_Inductive_fmu.fmu,False,0,,1.0,False,True,5034,2,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_IGLim_Inductive_fmu_AVR.fmu,False,0,,1.0,False,True,5034,2,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_Ifmax_fmu.fmu,False,0,,1.0,False,True,9202,0,2,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_InputDesign_AVR.fmu,False,0,,1.0,False,True,206,2,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_InputDesign_fmu.fmu,False,0,,1.0,False,True,509,3,2,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_InputDesign_grid.fmu,False,0,,1.0,False,True,213,1,2,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_InputDesign_noise_fmu.fmu,False,0,,1.0,False,True,509,3,2,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PQLim02_AVR_fmu.fmu,False,0,,1.0,False,True,363,0,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PQLim02_fmu.fmu,False,0,,1.0,False,True,502,0,2,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PQLim04_UpdatedGeneratorIO_AVR.fmu,False,0,,1.0,False,True,206,2,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PQLim04_UpdatedGeneratorIO_Mostar.fmu,False,0,,1.0,False,True,181,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PQLim04_UpdatedGeneratorIO_RaPId.fmu,False,0,,1.0,False,True,181,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PQLim04_UpdatedGeneratorIO_fmu.fmu,False,0,,1.0,False,True,332,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PQLim04_fmu.fmu,False,0,,1.0,False,True,1518,0,2,"Dymola Version 2019 (64-bit), 2018-04-11 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PQLim04_fmu_AVR.fmu,False,0,,1.0,False,True,206,2,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PQLim06_fmu.fmu,False,0,,1.0,False,True,502,0,2,"Dymola Version 2019 (64-bit), 2018-04-11 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PSSOff_fmu.fmu,False,0,,1.0,False,True,507,0,2,"Dymola Version 2019 (64-bit), 2018-04-11 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PSSOff_fmu_AVR.fmu,False,0,,2.0,True,True,150,0,1,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PSSOn_AVR.fmu,False,0,,1.0,False,True,206,2,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PSSOn_GeneratorValidation_G.fmu,False,0,,1.0,False,True,181,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PSSOn_GeneratorValidation_IncorrectGeneratorIOs.fmu,False,0,,1.0,False,True,209,1,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PSSOn_GeneratorValidation_SineInput.fmu,False,0,,1.0,False,True,46229,1,6,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PSSOn_GeneratorValidation_fmu.fmu,False,0,,1.0,False,True,181,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PSSOn_GeneratorValidation_fmu_regW.fmu,False,0,,1.0,False,True,181,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PSSOn_GeneratorValidation_fmu_update.fmu,False,0,,1.0,False,True,181,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PSSOn_Informativity_IncorrectGeneratorIOs.fmu,False,0,,1.0,False,True,209,1,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PSSOn_Informativity_ST5B_fmu.fmu,False,0,,1.0,False,True,205,3,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PSSOn_Informativity_fmu.fmu,False,0,,1.0,False,True,181,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PSSOn_fmu.fmu,False,0,,1.0,False,True,328,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_PSSOn_fmu_tables.fmu,False,0,,1.0,False,True,20184,0,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_Qizb_Capacitive_PSSOn_AVR.fmu,False,0,,1.0,False,True,206,2,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_Qizb_Capacitive_PSSOn_GeneratorValidation_AVR.fmu,False,0,,1.0,False,True,206,2,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_Qizb_Capacitive_PSSOn_GeneratorValidation_Mostar.fmu,False,0,,1.0,False,True,181,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_Qizb_Capacitive_PSSOn_GeneratorValidation_RaPId.fmu,False,0,,1.0,False,True,181,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_Qizb_Capacitive_PSSOn_GeneratorValidation_fmu.fmu,False,0,,1.0,False,True,181,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_Qizb_Capacitive_PSSOn_fmu.fmu,False,0,,1.0,False,True,342,2,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_Qizb_Capacitive_PSSOn_fmu_tables.fmu,False,0,,1.0,False,True,20184,0,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_Qizb_Capacitive_UpdatedGeneratorIO_AVR.fmu,False,0,,1.0,False,True,206,2,1,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_Qizb_Capacitive_UpdatedGeneratorIO_Mostar.fmu,False,0,,1.0,False,True,181,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_Qizb_Capacitive_UpdatedGeneratorIO_RaPId.fmu,False,0,,1.0,False,True,181,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_Qizb_Capacitive_UpdatedGeneratorIO_fmu.fmu,False,0,,1.0,False,True,332,3,3,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_Qizb_Capacitive_fmu.fmu,False,0,,1.0,False,True,506,0,2,"Dymola Version 2019 (64-bit), 2018-04-11 (requires license to execute)"
results/downloads\ALSETLab\Mostar\MATLAB_Qizb_Capacitive_fmu_AVR.fmu,False,0,,1.0,False,True,39488,0,4,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\Models_PQLim04_fmu.fmu,False,0,,1.0,False,True,1375,0,2,"Dymola Version 2019 FD01 (64-bit), 2018-10-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\Parallelization_IGLim_Inductive.fmu,False,0,,2.0,False,True,147,2,2,"Dymola Version 2020 (64-bit), 2019-04-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\Parallelization_Ifmax.fmu,False,0,,2.0,False,True,147,2,2,"Dymola Version 2020 (64-bit), 2019-04-10 (requires license to execute)"
results/downloads\ALSETLab\Mostar\Parallelization_Mostarfmu.fmu,False,0,,2.0,False,True,147,2,2,"Dymola Version 2020 (64-bit), 2019-04-10 (requires license to execute)"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_ESAC1A_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_ESAC2A_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_ESDC1A_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_ESDC2A_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_ESST1A_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_ESST4B_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_EXAC1_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_EXAC2_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_EXNI_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_EXST1_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_IEEET1_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_IEEET2_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_IEEEX1_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_SCRX_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_SEXS_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_ST5B_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_CS_URST5T_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_ESAC1A_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_ESAC2A_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_ESDC1A_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_ESDC2A_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_ESST1A_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_ESST4B_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_EXAC1_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_EXAC2_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_EXNI_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_EXST1_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_IEEET1_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_IEEET2_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_IEEEX1_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_SCRX_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_SEXS_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_ST5B_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Exciters_ME_URST5T_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Machines_CS_CSVGN1_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Machines_CS_GENCLS_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Machines_CS_GENROE_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Machines_CS_GENROU_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Machines_CS_GENSAE_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Machines_CS_GENSAL_CS.fmu,False,0,,2.0,True,False,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Machines_ME_CSVGN1_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Machines_ME_GENCLS_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
results/downloads\ALSETLab\NYPAModelTransformation\FMUs_Linux_Machines_ME_GENROE_ME.fmu,False,0,,2.0,False,True,0,0,0,"Dymola Version 2021 (64-bit), 2020-05-13"
